date,price
09/05/17,2459.26
09/06/17,2464.42
09/07/17,2464.455
09/08/17,2463.255
09/11/17,2481.735
09/12/17,2493.57
09/13/17,2495.255
09/14/17,2494.89
09/15/17,2496.695
09/18/17,2504.12
09/19/17,2505.515
09/20/17,2502.76
09/21/17,2503.08
09/22/17,2500.005
09/25/17,2495.285
09/26/17,2499.315
09/27/17,2503.83
09/28/17,2506.87
09/29/17,2513.715
10/02/17,2524.815
10/03/17,2531.99
10/04/17,2536.165
10/05/17,2546.265
10/06/17,2546.6
10/09/17,2546.71
10/10/17,2550.045
10/11/17,2551.595
10/12/17,2551.82
10/13/17,2554.87
10/16/17,2556.055
10/17/17,2557.2
10/18/17,2561.89
10/19/17,2555.14
10/20/17,2571.5
10/23/17,2571.31
10/24/17,2568.88
10/25/17,2555.7
10/26/17,2563.435
10/27/17,2574.46
10/30/17,2574.14
10/31/17,2575.22
11/01/17,2581.66
11/02/17,2573.64
11/03/17,2582.595
11/06/17,2589.52
11/07/17,2590.685
11/08/17,2590.245
11/09/17,2576.415
11/10/17,2579.69
11/13/17,2581.07
11/14/17,2573.11
11/15/17,2565.145
11/16/17,2581.52
11/17/17,2580.79
11/20/17,2581.44
11/21/17,2595.18
11/22/17,2598.085
11/23/17,2598.085
11/24/17,2602.315
11/27/17,2602.64
11/28/17,2616.565
11/29/17,2627.605
11/30/17,2645.835
12/01/17,2628.07
12/04/17,2652.11
12/05/17,2638.225
12/06/17,2629.58
12/07/17,2633.76
12/08/17,2647.875
12/11/17,2655.9
12/12/17,2664.75
12/13/17,2667.365
12/14/17,2660.05
12/15/17,2669.385
12/18/17,2690.445
12/19/17,2687.59
12/20/17,2683.56
12/21/17,2687.52
12/22/17,2681.74
12/25/17,2681.74
12/26/17,2680.35
12/27/17,2682.275
12/28/17,2685.175
12/29/17,2682.865
01/01/18,2682.865
01/02/18,2689.125
01/03/18,2706.07
01/04/18,2724.18
01/05/18,2735.685
01/08/18,2743.055
01/09/18,2753.5
01/10/18,2743.43
01/11/18,2760.17
01/12/18,2778.745
01/15/18,2778.745
01/16/18,2788.09
01/17/18,2792.71
01/18/18,2799.195
01/19/18,2804.205
01/22/18,2820.575
01/23/18,2836.415
01/24/18,2838.89
01/25/18,2839.75
01/26/18,2859.525
01/29/18,2861.05
01/30/18,2828.01
01/31/18,2826.15
02/01/18,2824.33
02/02/18,2784.445
02/05/18,2700.78
02/06/18,2647.055
02/07/18,2704.5
02/08/18,2632.915
02/09/18,2585.68
02/12/18,2647.53
02/13/18,2652.96
02/14/18,2675.485
02/15/18,2710.665
02/16/18,2739.765
02/19/18,2739.765
02/20/18,2722.18
02/21/18,2724.52
02/22/18,2714.515
02/23/18,2730.75
02/26/18,2767.21
02/27/18,2766.685
02/28/18,2737.53
03/01/18,2695.27
03/02/18,2671.785
03/05/18,2701.92
03/06/18,2721.67
03/07/18,2716.17
03/08/18,2731.55
03/09/18,2769.055
03/12/18,2788.12
03/13/18,2780.29
03/14/18,2760.745
03/15/18,2752.25
03/16/18,2755.91
03/19/18,2717.985
03/20/18,2717.135
03/21/18,2724.465
03/22/18,2668.635
03/23/18,2621.78
03/26/18,2631.585
03/27/18,2635.45
03/28/18,2612.855
03/29/18,2634.395
03/30/18,2634.395
04/02/18,2596.05
04/03/18,2597.315
04/04/18,2611.735
04/05/18,2660.83
04/06/18,2621.575
04/09/18,2632.17
04/10/18,2650.615
04/11/18,2650.34
04/12/18,2664.275
04/13/18,2662.655
04/16/18,2675.825
04/17/18,2702.695
04/18/18,2710.56
04/19/18,2692.37
04/20/18,2677.275
04/23/18,2670.425
04/24/18,2650.435
04/25/18,2628.985
04/26/18,2661.82
04/27/18,2668.18
04/30/18,2665.455
05/01/18,2640.34
05/02/18,2646.285
05/03/18,2615.88
05/04/18,2643.125
05/07/18,2674.025
05/08/18,2665.77
05/09/18,2687.705
05/10/18,2715.325
05/11/18,2725.155
05/14/18,2733.785
05/15/18,2710.25
05/16/18,2719.965
05/17/18,2721.66
05/18/18,2714.34
05/21/18,2732.445
05/22/18,2732.06
05/23/18,2721.435
05/24/18,2719.675
05/25/18,2721.175
05/28/18,2721.175
05/29/18,2693.74
05/30/18,2715.885
05/31/18,2711.59
06/01/18,2727.815
06/04/18,2744.85
06/05/18,2746.06
06/06/18,2760.425
06/07/18,2770.03
06/08/18,2771.49
06/11/18,2785.19
06/12/18,2784.29
